,,,
Age,Sedentary,Moderately active,Active
2,1000,1000,1000
3,1000,1400,1400
4,1200,1400,1600
5,1200,1400,1600
6,1400,1600,1800
7,1400,1600,1800
8,1400,1600,2000
9,1600,1800,2000
10,1600,1800,2200
11,1800,2000,2200
12,1800,2400,2400
13,2000,2400,2600
14,2000,2400,2800
15,2200,2600,3000
16,2400,2800,3200
17,2400,2800,3200
18,2400,2800,3200
19-20,2600,2800,3000
21-25,2400,2800,3000
26-30,2400,2600,3000
31-35,2400,2600,3000
36-40,2400,2600,2800
41-45,2200,2600,2800
46-50,2200,2400,2800
51-55,2200,2400,2800
56-60,2200,2400,2600
61-65,2000,2400,2600
66-70,2000,2200,2600
71-75,2000,2200,2600
76+,2000,2200,2400
