,,,
Age,Sedentary,Moderately active,Active
2,1000,1000,1000
3,1000,1200,1400
4,1200,1400,1400
5,1200,1400,1600
6,1200,1400,1600
7,1200,1600,1800
8,1400,1600,1800
9,1400,1600,1800
10,1400,1800,2000
11,1600,1800,2000
12,1600,2000,2200
13,1600,2000,2200
14,1800,2000,2400
15,1800,2000,2400
16,1800,2000,2400
17,1800,2000,2400
18,1800,2000,2400
19-20,2000,2200,2400
21-25,2000,2200,2400
26-30,1800,2000,2400
31-35,1800,2000,2200
36-40,1800,2000,2200
41-45,1800,2000,2200
46-50,1800,2000,2200
51-55,1600,1800,2200
56-60,1600,2200,2200
61-65,1600,1800,2000
66-70,1600,1800,2000
71-75,1600,1800,2000
76+,1600,1800,2000
